institution,seed_url,source,score,matched_terms,reason
Instituto Balseiro,https://www.ib.edu.ar/academicas/carreras-de-grado/carrera-de-grado_licfisica,homepage,12,carrera|fisica|licenciatura,url:carrera + anchor:licenciatura + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/academicas/maestrias/maestria-en-ciencias-fisicas,homepage,12,ciencias|maestria,url:maestria + anchor:maestria + stem:ciencias + sitemap
Instituto Balseiro,https://www.ib.edu.ar/academicas/maestrias/maestria-en-ingenieria,homepage,12,ingenieria|maestria,url:maestria + anchor:maestria + stem:ingenieria + sitemap
Instituto Balseiro,https://www.ib.edu.ar/academicas/maestrias/maestria_fisica-medica,homepage,12,fisica|maestria,url:maestria + anchor:maestria + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/el-balseiro-convoca-a-inscribirse-en-maestria-en-ingenieria-orientacion-en-telecomunicaciones,sitemap,12,ingenieria|maestria|telecomunicaciones,"url:maestria + stem:ingenieria,telecomunicaciones + sitemap"
Instituto Balseiro,https://www.ib.edu.ar/academicas/doctorados/cs-ingenieria,homepage,11,ciencias|doctorado|ingenieria,"anchor:doctorado + stem:ciencias,ingenieria + sitemap"
Instituto Balseiro,https://www.ib.edu.ar/abrio-la-inscripcion-a-la-maestria-de-fisica-medica-que-dicta-el-balseiro-junto-a-fuesmen,sitemap,10,fisica|maestria,url:maestria + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/abrio-la-inscripcion-de-la-maestria-de-fisica-medica-que-dicta-el-balseiro-junto-a-fuesmen,sitemap,10,fisica|maestria,url:maestria + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/academicas/carreras-de-grado/carrera-de-grado_licfisica/cual-es-el-perfil-de-los-profesionales-del-ib-fisica,sitemap,10,carrera|fisica,url:carrera + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/academicas/carreras-de-grado/carrera-de-grado_licfisica/donde-trabajan-quienes-egresan-del-ib-fisica,sitemap,10,carrera|fisica,url:carrera + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/academicas/carreras-de-grado/carrera-de-grado_licfisica/que-hacen-los-profesionales-del-area-fisica,sitemap,10,carrera|fisica,url:carrera + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/academicas/carreras-de-grado/carrera-de-grado_licfisica/que-se-estudia-fisica,sitemap,10,carrera|fisica,url:carrera + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/academicas/carreras-de-grado/ing-nuclear/que-se-estudia-en-la-carrera-de-ingenieria-nuclear,sitemap,10,carrera|ingenieria,url:carrera + stem:ingenieria + sitemap
Instituto Balseiro,https://www.ib.edu.ar/academicas/carreras-de-grado/ing-telecomunicaciones/que-se-estudia-en-la-carrera-de-ing-en-telecomunicaciones,sitemap,10,carrera|telecomunicaciones,url:carrera + stem:telecomunicaciones + sitemap
Instituto Balseiro,https://www.ib.edu.ar/egresaron-15-nuevos-profesionales-de-la-licenciatura-en-fisica-del-balseiro,sitemap,10,fisica|licenciatura,url:licenciatura + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/el-balseiro-abrio-la-inscripcion-2015-a-la-maestria-en-ciencias-fisicas,sitemap,10,ciencias|maestria,url:maestria + stem:ciencias + sitemap
Instituto Balseiro,https://www.ib.edu.ar/el-balseiro-abrio-la-inscripcion-de-la-maestria-en-fisica-medica,sitemap,10,fisica|maestria,url:maestria + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/el-balseiro-extendio-la-inscripcion-de-la-maestria-en-fisica-medica-hasta-el-31-de-mayo,sitemap,10,fisica|maestria,url:maestria + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/el-balseiro-extiende-la-inscripcion-a-su-escuela-sobre-fisica-de-superficies-y-materiales-2d,sitemap,10,escuela|fisica,url:escuela + stem:fisica + sitemap
Instituto Balseiro,https://www.ib.edu.ar/el-balseiro-inscribe-en-la-maestria-de-ciencias-fisicas,sitemap,10,ciencias|maestria,url:maestria + stem:ciencias + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/ensenanza/cursos-de-posgrado,homepage,11,cursos|posgrado,"url:cursos,posgrado + anchor:cursos,posgrado + sitemap"
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/computacion-una-carrera-con-historia,sitemap,10,carrera|computacion,url:carrera + stem:computacion + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/cursos-matematica-en-video-youtube,sitemap,10,cursos|matematica,url:cursos + stem:matematica + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/escuela-de-ciencias-informaticas-2022,sitemap,10,ciencias|escuela,url:escuela + stem:ciencias + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/finalizo-la-escuela-de-ciencias-informaticas-2022,sitemap,10,ciencias|escuela,url:escuela + stem:ciencias + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/institucional/concursos/aux-interinos/departamento-de-ciencias-de-la-atmosfera-y-los-oceanos,sitemap,10,ciencias|departamento,url:departamento + stem:ciencias + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/institucional/concursos/aux-interinos/departamento-de-computacion,sitemap,10,computacion|departamento,url:departamento + stem:computacion + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/institucional/concursos/aux-interinos/departamento-de-fisica,sitemap,10,departamento|fisica,url:departamento + stem:fisica + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/institucional/concursos/aux-interinos/departamento-de-matematica,sitemap,10,departamento|matematica,url:departamento + stem:matematica + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/institucional/concursos/aux-interinos/departamento-de-quimica-inorganica-analitica-y-quimica-fisica,sitemap,10,departamento|fisica,url:departamento + stem:fisica + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/institucional/concursos/auxiliares/departamento-de-ciencias-de-la-atmosfera-y-los-oceanos,sitemap,10,ciencias|departamento,url:departamento + stem:ciencias + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/institucional/concursos/auxiliares/departamento-de-ciencias-geologicas,sitemap,10,ciencias|departamento,url:departamento + stem:ciencias + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/institucional/concursos/auxiliares/departamento-de-computacion,sitemap,10,computacion|departamento,url:departamento + stem:computacion + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/institucional/concursos/auxiliares/departamento-de-fisica,sitemap,10,departamento|fisica,url:departamento + stem:fisica + sitemap
Universidad de Buenos Aires - Exactas,https://exactas.uba.ar/institucional/concursos/auxiliares/departamento-de-matematica,sitemap,10,departamento|matematica,url:departamento + stem:matematica + sitemap
